Observations,Score,Comments
,,
Software Working through Doc,,
"Does the website and documentation provide a clear, high-level overview of your software?",Y,
Does the website and documentation clearly describe the type of user who should use your software?,Y,"It provide's info about it's target audience, but it is not highlighted specifcally, so it get's hidden in between other section"
Do this project publish case studies to show how your software has been used by yourself and others?,Y,
,,
Project and Software's Uniquness,,
Is the name of the project/software unique?,N,"For this, project I think the name is not unique, but perfectly describe the software's working"
Is the project/software name free from trademark violations?,N/A,
,,
Avaibility of Software,,
Is this software available as a package that can be deployed without building it?,N,"It's a terminal based project, so it required building it for use"
Is your software available for free?,Y,
"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Y,
"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Y,
,,
Software's documentation,,
Is the documentation clearly available on your website or within your software?,Y,
"Does the documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Y,
"If the documentation is extensive, does this provide clear, step-by-step instructions on how to deploy and use the software?",Y,
"Does it provide a comprehensive guide to all the software’s commands, functions and options?",Y,
Do it provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,N,
"If the software can be used as a library, package or service by other software, do it provide comprehensive API documentation?",N/A,
Does documentation is stored under revision control with the source code?,Y,
"Do the software publish release history e.g. release data, version numbers, key features of each release etc. on their web site or in your documentation?",N,"Release data is not provided. But since it is a small project, it makes little sense to provide such data."
,,
Software User Support,,
Does this software describe how a user can get help with using your software?,Y,
"Does the website and documentation describe what support, if any, you provide to users and developers?",N,
Does the project have an e-mail address or forum that is solely for supporting users?,N,
Are e-mails to it's support e-mail address received by more than one person?,N/A,
Does this project have a ticketing system to manage bug reports and feature requests?,Y,It uses github Issue and Pull Requests
"Is the project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Y,
,,
Software's Maintance,,
Is the software’s architecture and design modular?,Y,
Does the software use an accepted coding standard or convention?,Y,
,,
Open standards in software,,There isn't any data communication happening in the software
"Does your software allow data to be imported and exported using open data formats?* e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",N,
"Does your software allow communications using open communications protocols?*e.g. HTTP, FTP, XMPP, SOAP over HTTP, or domain-specific ones",N,
,,
Software's Cross-Compability,,
"Is the software cross-platform compatible?* e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",N,It does not provide support for how to use it in MacOs
,,
Software's accessibility,,
Does the software adhere to appropriate accessibility conventions or standards?,N,
Does the documentation adhere to appropriate accessibility conventions or standards?,N,
,,
Software's Realising Cycle,,
Is the source code stored in a repository under revision control?,Y,
Is each source code release a snapshot of the repository?,N/A,
Are releases tagged in the repository?,N/A,
"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Y,
Do the sofware back-up it's repository?,Y,
,,
Software's Installation and Build,,
Do it provide publicly-available instructions for building the software from the source code?,Y,
