Observations,Score,Comments
,,
Software Working through Doc,,
"Does the website and documentation provide a clear, high-level overview of your software?",Y,Here is the documentation. https://github.com/shyamal31/units_converter_extension#smart-units-converter---browser-extension
Does the website and documentation clearly describe the type of user who should use your software?,Y,
Do this project publish case studies to show how your software has been used by yourself and others?,Y,
,,
Project and Software's Uniquness,,
Is the name of the project/software unique?,Y,No other extension is available on the chrome web store with the exact same name
Is the project/software name free from trademark violations?,Y,
,,
Avaibility of Software,,
Is this software available as a package that can be deployed without building it?,Y,We need to just add the extension in chrome
Is your software available for free?,Y,It is open source with MIT Licence
"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Y,Available on github
"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Y,Hosted on github.com
,,
Software's documentation,,
Is the documentation clearly available on your website or within your software?,Y,Here is the documentation. https://github.com/shyamal31/units_converter_extension#smart-units-converter---browser-extension
"Does the documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Y,Here is the link to the Demo. https://github.com/shyamal31/units_converter_extension#popup-features-for-the-user
"If the documentation is extensive, does this provide clear, step-by-step instructions on how to deploy and use the software?",Y,Installation guide is provided. https://github.com/shyamal31/units_converter_extension#installation-guide
"Does it provide a comprehensive guide to all the software’s commands, functions and options?",Y,"Home page of the repository covers all the functions. Also, appropriate documentation is provided with corresponding files."
Does it provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,Y,"Installation is straightforward and there is no scope for errors. Nevertheless, an email has been provided so that users can contact with their queries."
"If the software can be used as a library, package or service by other software, do it provide comprehensive API documentation?",N/A,
Is documentation stored under revision control with the source code?,Y,Github is used.
"Does the software publish release history e.g. release data, version numbers, key features of each release etc. on their web site or in your documentation?",Y,This is the version 3 of the software. Version 2 was launched by the team before us. https://zenodo.org/records/10211931
,,
Software User Support,,
Does this software describe how a user can get help with using your software?,Y,"Comprehensive documentation has been provided. Still if a user has any difficulty, he/she can reach out to us using our email address"
"Does the website and documentation describe what support, if any, you provide to users and developers?",Y,"Yes, we provide troubleshooting support. https://github.com/shyamal31/units_converter_extension#troubleshooting"
Does the project have an e-mail address or forum that is solely for supporting users?,Y,unit.convertor.help@gmail.com
Are e-mails to it's support e-mail address received by more than one person?,Y,
Does this project have a ticketing system to manage bug reports and feature requests?,Y,It uses github Issue and Pull Requests
"Is the project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Y,Part of public github repository.
,,
Software's Maintance,,
Is the software’s architecture and design modular?,Y,
Does the software use an accepted coding standard or convention?,Y,
,,
Open standards in software,,
"Does your software allow data to be imported and exported using open data formats?* e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",N/A,
"Does your software allow communications using open communications protocols?*e.g. HTTP, FTP, XMPP, SOAP over HTTP, or domain-specific ones",N/A,
,,
Software's Cross-Compability,,
"Is the software cross-platform compatible?* e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",Y,Extension can be run on any OS
,,
